TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF JUN 02, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF JUN 02, 2014 (B)",Home Depot Home Center : Home & Building Products DR,3.7,0,0,0,0,0,0,3.7,0,0,0
"WEEK OF JUN 02, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,9322.8,2308.8,3259.9,149.4,237.4,0,0,753.9,2485.6,127.9,0
"WEEK OF JUN 02, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,14.2,0,0,0,0,0,0,14.2,0,0,0
"WEEK OF JUN 02, 2014 (B)",Home Depot Home Center : Vignette,17.4,0,16.7,0,0.7,0,0,0,0,0,0
"WEEK OF JUN 09, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF JUN 09, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,8087.6,1721.3,2903,370,461,4.5,0,14.3,2485.6,127.9,0
"WEEK OF JUN 09, 2014 (B)",Home Depot Home Center : Vignette,21.8,0,21.8,0,0,0,0,0,0,0,0
"WEEK OF JUN 16, 2014 (B)",Home Depot & Sacramento Municipal Utility District : Combo,0.5,0,0,0,0,0,0,0.5,0,0,0
"WEEK OF JUN 16, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.7,0,0,0,0.7,0,0,0,0,0,0
"WEEK OF JUN 16, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,5224.6,894,1310.6,111.5,39.1,0,0,255.8,2485.6,127.9,0
"WEEK OF JUN 16, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,4.7,0,0,0,0,0,0,4.7,0,0,0
"WEEK OF JUN 16, 2014 (B)",Home Depot Home Center : Vignette,13.9,0,13.9,0,0,0,0,0,0,0,0
"WEEK OF JUN 23, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF JUN 23, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,8513.2,2171,2768.8,206.8,110.3,0,0,642.8,2485.6,127.9,0
"WEEK OF JUN 23, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,7,0,0,0,0,0,0,7,0,0,0
"WEEK OF JUN 23, 2014 (B)",Home Depot Home Center : Vignette,11.5,0,11.5,0,0,0,0,0,0,0,0
"WEEK OF JUN 30, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.4,0,0,0,1.4,0,0,0,0,0,0
"WEEK OF JUN 30, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,9513.5,1460.7,2185.1,363.5,48.2,3739.2,0,181.7,1506.9,24.3,3.8
"WEEK OF JUN 30, 2014 (B)",Home Depot Home Center : Vignette,13.6,0,13.6,0,0,0,0,0,0,0,0
"WEEK OF JUL 07, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.2,0,0,0,0.2,0,0,0,0,0,0
"WEEK OF JUL 07, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,3494,833.4,1156.4,88.5,64.3,0,0,0.5,1343.8,7.1,0
"WEEK OF JUL 07, 2014 (B)",Home Depot Home Center : Vignette,7.9,0,7.9,0,0,0,0,0,0,0,0
"WEEK OF JUL 14, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.5,0,0,0,0.5,0,0,0,0,0,0
"WEEK OF JUL 14, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,3911,896.3,1430.1,205.9,27.8,0,0,0,1343.8,7.1,0
"WEEK OF JUL 14, 2014 (B)",Home Depot Home Center : Vignette,10.3,0,9.4,0.8,0,0,0,0,0,0,0
"WEEK OF JUL 21, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.5,0,0,0,0.5,0,0,0,0,0,0
"WEEK OF JUL 21, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,3740.3,967.3,1303.3,73.5,45.3,0,0,0,1343.8,7.1,0
"WEEK OF JUL 21, 2014 (B)",Home Depot Home Center : Vignette,33.5,0,32.7,0.8,0,0,0,0,0,0,0
"WEEK OF JUL 28, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.8,0,0,0,1.8,0,0,0,0,0,0
"WEEK OF JUL 28, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,6236.3,693.4,1301.3,83.3,54.1,2549.9,0,292.3,1246.5,13.3,2.4
"WEEK OF JUL 28, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,7.1,0,0,0,0,0,0,7.1,0,0,0
"WEEK OF JUL 28, 2014 (B)",Home Depot Home Center : Vignette,7.2,0,6.4,0.8,0,0,0,0,0,0,0
"WEEK OF AUG 04, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,1,0,0,0,1,0,0,0,0,0,0
"WEEK OF AUG 04, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,2361.9,65.2,974.7,62.1,121.7,0,0,0,1116.7,21.6,0
"WEEK OF AUG 04, 2014 (B)",Home Depot Home Center : Vignette,5.2,0,4.4,0.8,0,0,0,0,0,0,0
"WEEK OF AUG 11, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.6,0,0,0,0.6,0,0,0,0,0,0
"WEEK OF AUG 11, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,3419.4,687.7,1510,42.1,41.3,0,0,0,1116.7,21.6,0
"WEEK OF AUG 11, 2014 (B)",Home Depot Home Center : Vignette,13.1,0,12.3,0.8,0,0,0,0,0,0,0
"WEEK OF AUG 18, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF AUG 18, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,3138.2,48.1,1751,118.8,82,0,0,0,1116.7,21.6,0
"WEEK OF AUG 18, 2014 (B)",Home Depot Home Center : Vignette,14.3,0,14.3,0,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,4729,1050.7,1791.1,73.8,58.9,0,0,616.3,1116.7,21.6,0
"WEEK OF AUG 25, 2014 (B)",Home Depot Home Center : Vignette,21.8,0,21,0.8,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.4,0,0,0,1.4,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,5374.4,940.3,696.4,8.7,73.7,2648.3,0,0,956.1,47.5,3.3
